Cache Timing Analysis
====================

Overall Statistics:
  Min access time: 108 cycles
  Max access time: 137952 cycles
  Mean access time: 356.03 cycles
  Median access time: 332.00 cycles
  Std dev of access times: 389.75 cycles

Potential cache hit/miss threshold: 105260.00 cycles
  Values below this are likely cache hits
  Values above this are likely cache misses

Statistics by Address:
Address,Mean,Median,StdDev,Min,Max
14208,345.65,328.00,83.02,288,1088
14272,363.27,336.00,110.86,300,1476
14336,359.13,344.00,74.06,308,1224
14400,395.42,336.00,944.91,300,26388
14464,371.95,336.00,585.34,296,18672
14528,362.35,340.00,102.51,216,1116
14592,345.07,328.00,80.00,288,1004
14656,360.57,340.00,96.13,300,1112
14720,363.53,332.00,477.86,264,15252
14784,371.90,348.00,97.44,308,1100
14848,367.72,344.00,95.24,308,1112
14912,371.31,336.00,620.55,292,19852
14976,364.12,348.00,79.82,284,1180
15040,347.59,332.00,75.93,272,1088
15104,345.84,328.00,79.90,288,1084
15168,378.99,340.00,633.44,300,20208
15232,361.15,344.00,77.37,308,1276
15296,363.49,336.00,111.83,300,1224
15360,389.90,328.00,804.88,228,22292
15424,363.90,340.00,108.91,300,1140
15488,342.42,328.00,78.37,288,1028
15552,359.70,340.00,93.26,300,1120
15616,357.40,336.00,99.24,292,1020
15680,357.48,340.00,95.42,272,1424
15744,392.59,328.00,984.72,300,23036
15808,358.94,332.00,98.32,140,1048
15872,386.34,328.00,902.70,300,22776
15936,342.46,320.00,97.07,200,1020
16000,372.24,328.00,891.17,220,28452
16064,338.19,316.00,90.09,288,1172
16128,343.37,328.00,66.12,300,984
16192,348.02,324.00,97.70,276,1068
16256,343.53,328.00,68.09,300,1008
16320,342.48,316.00,97.86,288,1096
16384,345.40,324.00,83.93,300,1032
16448,359.14,336.00,92.70,308,1104
16512,347.56,328.00,80.40,272,1016
16576,341.79,324.00,83.19,276,1104
16640,350.24,328.00,87.19,300,1060
16704,341.85,320.00,88.68,288,948
16768,345.94,328.00,83.91,300,1068
16832,338.26,316.00,90.65,228,1044
16896,341.23,324.00,77.19,160,1056
16960,358.97,340.00,89.28,308,1424
17024,371.55,328.00,648.52,300,20652
17088,349.64,324.00,101.78,296,1024
17152,358.94,340.00,82.31,308,1028
17216,359.35,324.00,459.45,272,14592
17280,343.56,324.00,74.70,272,996
17344,360.08,336.00,97.40,308,1344
17408,350.82,328.00,95.78,204,1048
17472,345.07,320.00,98.52,288,1004
17536,353.40,328.00,90.02,280,1012
17600,346.28,320.00,105.80,272,1108
17664,353.30,328.00,97.75,152,1324
17728,363.38,324.00,543.38,196,17296
17792,335.68,320.00,71.32,288,1024
17856,350.94,328.00,95.45,300,1176
17920,358.97,340.00,88.63,308,1448
17984,341.77,324.00,81.80,296,1032
18048,345.78,324.00,93.75,296,1048
18112,346.60,324.00,83.04,300,1048
18176,342.32,324.00,80.03,292,1020
18240,363.49,340.00,97.26,308,1248
18304,354.67,336.00,81.86,228,1028
18368,352.26,328.00,93.20,300,1004
18432,339.80,320.00,83.87,288,1020
18496,349.28,328.00,91.72,184,1312
18560,338.74,320.00,80.13,268,1092
18624,355.31,328.00,102.64,272,1132
18688,365.61,324.00,623.94,268,19896
18752,349.66,328.00,97.15,140,1056
18816,356.32,336.00,91.64,184,1140
18880,347.55,328.00,85.12,280,1072
18944,409.52,324.00,2096.54,292,66620
19008,360.61,340.00,89.61,308,1284
19072,343.68,320.00,104.65,268,1300
19136,353.41,328.00,99.01,268,1356
19200,362.46,340.00,89.05,308,1052
19264,347.89,324.00,98.34,292,1120
19328,345.05,318.00,104.92,208,1076
19392,351.06,328.00,94.56,300,1192
19456,384.10,336.00,799.09,272,25464
19520,350.47,324.00,94.67,300,1040
19584,345.22,324.00,84.99,296,1104
19648,366.42,328.00,589.26,300,18800
19712,356.63,316.00,559.89,280,17840
19776,350.88,328.00,93.85,300,1404
19840,338.53,316.00,87.05,268,1012
19904,346.28,328.00,75.90,140,1068
19968,357.71,340.00,81.73,304,1112
20032,341.18,324.00,83.95,204,1016
20096,359.91,336.00,97.51,284,1300
20160,348.21,328.00,92.33,208,1104
20224,343.32,324.00,85.81,280,1032
20288,356.88,340.00,79.64,172,1084
20352,343.81,324.00,88.05,296,1012
20416,344.42,328.00,74.26,140,968
20480,354.48,316.00,561.20,288,17892
20544,347.37,328.00,77.83,300,1024
20608,339.62,316.00,88.35,260,1064
20672,352.05,328.00,92.21,280,1088
20736,373.40,336.00,442.14,308,14052
20800,371.32,328.00,615.76,300,19580
20864,346.01,324.00,92.19,264,1104
20928,355.26,328.00,103.34,300,1264
20992,337.60,320.00,63.85,292,1008
21056,361.22,340.00,93.40,132,1452
21120,335.17,316.00,77.47,292,1180
21184,354.79,328.00,102.87,148,1136
21248,360.82,340.00,89.94,128,1040
21312,348.61,324.00,96.75,296,1048
21376,338.99,316.00,84.70,280,964
21440,350.12,328.00,86.65,164,1036
21504,347.56,324.00,95.94,296,1028
21568,347.83,328.00,84.87,140,1136
21632,357.54,336.00,87.55,308,1052
21696,365.17,328.00,593.46,280,18912
21760,336.30,320.00,84.15,184,1436
21824,352.50,328.00,92.29,192,1000
21888,364.87,328.00,577.29,208,18428
21952,346.76,324.00,92.32,296,1036
22016,345.80,328.00,78.06,156,1044
22080,343.84,316.00,98.19,212,1088
22144,345.55,328.00,81.16,300,1112
22208,340.04,320.00,88.03,288,1016
22272,348.08,328.00,84.07,300,1024
22336,357.43,336.00,89.08,308,1044
22400,356.06,328.00,100.13,300,1040
22464,340.81,316.00,90.10,288,1024
22528,352.04,328.00,94.14,300,1104
22592,347.98,324.00,91.12,296,1016
22656,348.08,328.00,85.83,300,1064
22720,356.33,336.00,88.59,308,1124
22784,351.52,328.00,166.56,300,4964
22848,335.64,316.00,74.41,160,988
22912,349.70,328.00,83.99,300,1032
22976,337.96,320.00,80.09,288,1044
23040,342.09,324.00,84.28,292,1056
23104,364.53,340.00,97.29,308,1376
23168,343.30,326.00,75.91,176,1032
23232,379.12,336.00,635.14,308,20236
23296,363.82,340.00,95.29,232,1112
23360,365.15,324.00,620.18,136,19720
23424,342.95,328.00,72.34,176,1032
23488,371.46,324.00,720.89,296,22944
23552,359.37,328.00,442.54,300,14140
23616,356.13,316.00,477.58,288,15104
23680,346.82,328.00,78.40,300,1016
23744,338.93,316.00,94.01,232,1172
23808,350.44,328.00,94.26,272,1156
23872,371.56,336.00,446.44,308,14204
23936,350.46,328.00,92.86,300,1068
24000,339.88,318.00,86.58,288,1012
24064,351.72,328.00,102.22,156,1468
24128,357.79,336.00,88.51,276,1108
24192,348.76,328.00,90.03,140,1048
24256,349.81,324.00,97.78,192,1092
24320,355.16,328.00,101.12,300,1056
24384,346.58,320.00,108.67,288,1372
24448,340.32,324.00,71.82,220,1104
24512,358.98,336.00,86.57,308,1084
24576,352.26,328.00,97.13,212,1028
